Isolate	Species	Species_1	Location	Country	Latitude	Longitude	Lat_sim	Long_sim		Year	Plate_Position	Ind	SpeciesID	SpeciesID	PCA1	PCA2	Group	Gr	SpeciesID	LEN_org	Name	LEN_Name	GeoGroup	PopGeo	SpName	Name	LD1	LD2	Gr	Group-Samtools
H986	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Republik_of_Georgia	43.001554	41.023407	45.001554	46.023407		1986	B3	1	HI.4257.001.BioOHT_15.H986_aln-pe.sorted	HI.4257.001.BioOHT_15.H986_calmd.bam	-11,266743	12,32826733	nov	N	H986	4	H986_N	6	E	NE	H986	15.H986	-16,29753772	0,205181296	1	NOV
H323	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Europe	49.817492	15.472962	54.817492	19.472962		1986	E9	2	HI.4257.001.BioOHT_56.H323_aln-pe.sorted	HI.4257.001.BioOHT_56.H323_calmd.bam	-12,78133	12,16109717	nov	N	H323	4	H323_N	6	E	NE	H323	56.H323	-16,7880474	0,04541128	1	NOV
H260	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	Moscow	Russia	55.755826	37.6173	60.755826	33.6173		1986	B8	3	HI.4257.001.BioOHT_19.H260_aln-pe.sorted	HI.4257.001.BioOHT_19.H260_calmd.bam	-13,697381	11,93531103	nov	N	H260	4	H260_N	6	E	NE	H260	19.H260	-16,98841745	0,550305811	1	NOV
CKT4	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	Chachkam_Forest	Iran	36.3464054	53.2840595	41.3464054	58.2840595		NA	D10	4	HI.4257.001.BioOHT_45.CKT4_aln-pe.sorted	HI.4257.001.BioOHT_45.CKT4_calmd.bam	-13,701018	11,92937261	nov	N	CKT4	4	CKT4_N	6	E	NE	CKT4	45.CKT4	-16,98297935	0,548881138	1	NOV
H294	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Ireland	53.41291	-8.24389	52.41291	-15.24389		1986	F7	5	HI.4257.001.BioOHT_66.H294_aln-pe.sorted	HI.4257.001.BioOHT_66.H294_calmd.bam	-13,690256	11,92904179	nov	N	H294	4	H294_N	6	E	NE	H294	66.H294	-16,97614144	0,547651719	1	NOV
H413a	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Spain	40.463667	-3.74922	38.463667	-5.25078		1986	E2	6	HI.4257.001.BioOHT_50.H413a_aln-pe.sorted	HI.4257.001.BioOHT_50.H413a_calmd.bam	-11,486937	11,66972864	nov	N	H413a	5	H413a_N	7	E	NE	H413a	50.H413a	-14,79431277	0,23151201	1	NOV
H346	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Belgium	50.503887	4.469936	50.503887	0.469936		1986	H2	7	HI.4257.001.BioOHT_86.H346_aln-pe.sorted	HI.4257.001.BioOHT_86.H346_calmd.bam	-13,106568	11,46044933	nov	N	H346	4	H346_N	6	E	NE	H346	86.H346	-16,97667432	0,542105131	1	NOV
R108	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	Maghera,_Dorohoi	Romania	47.954921	26.401209	50.954921	31.401209		1993	D2	8	HI.4257.001.BioOHT_38.R108_aln-pe.sorted	HI.4257.001.BioOHT_38.R108_calmd.bam	-11,652609	11,22211605	nov	N	R108	4	R108_N	6	E	NE	R108	38.R108	-13,91504361	-0,621838547	1	NOV
Yu141	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	Skopje	Macedonia	41.9973462	21.4279956	36.9973462	18.4279956		1980	D5	9	HI.4257.001.BioOHT_40.Yu141_aln-pe.sorted	HI.4257.001.BioOHT_40.Yu141_calmd.bam	-11,547206	11,04916958	nov	N	Yu141	5	Yu141_N	7	E	NE	Yu141	40.Yu141	-15,87796266	-0,186551055	1	NOV
R22	NA	Unknown	NA	Romania	45.943161	24.96676	42.943161	29.96676		NA	A12	10	HI.4257.001.BioOHT_11.R22_aln-pe.sorted	HI.4257.001.BioOHT_11.R22_calmd.bam	-11,220799	10,63039506	nov	N	R22	3	R22_N	5	E	NE	R22	11.R22	-15,96215629	0,315177576	1	NOV
P122	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	Swinoujscie	Poland	53.910033	14.247578	57.910033	13.247578		NA	E8	11	HI.4257.001.BioOHT_55.P122_aln-pe.sorted	HI.4257.001.BioOHT_55.P122_calmd.bam	-10,654577	10,60935384	nov	N	P122	4	P122_N	6	E	NE	P122	55.P122	-16,14929843	0,250292572	1	NOV
TR67	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Turkey	38.963745	35.243322	34.963745	38.243322		1987	C8	12	HI.4257.001.BioOHT_31.TR67_aln-pe.sorted	HI.4257.001.BioOHT_31.TR67_calmd.bam	-12,322232	10,39921564	nov	N	TR67	4	TR67_N	6	E	NE	TR67	31.TR67	-16,94771866	0,535242518	1	NOV
H332	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	NA	Denmark	56.26392	9.501785	59.26392	4.501785		1986	A3	13	HI.4257.001.BioOHT_3.H332_aln-pe.sorted	HI.4257.001.BioOHT_3.H332_calmd.bam	-12,066182	10,39256531	nov	N	H332	4	H332_N	6	E	NE	H332	3.H332	-16,92204967	0,539591094	1	NOV
H371	Ophiostoma_novo_ulmi	Ophiostoma_novo_ulmi	Rhenen	Netherlands	51.9621397	5.5711155	54.9621397	1.5711155		1980	B11	14	HI.4257.001.BioOHT_22.H371_aln-pe.sorted	HI.4257.001.BioOHT_22.H371_calmd.bam	-10,771852	10,31027094	nov	N	H371	4	H371_N	6	E	NE	H371	22.H371	-17,44598508	0,335074394	1	NOV
