Lp,Label,(%Miss),AME1,AME2,NOV,Blank,Region,RegionSmall
1,R69,0,0,0,1,0,Europe,EuropeES
2,R22,0,0,0,1,0,Europe,EuropeES
3,DDS202,-1,0,1,0,0,Namerica,Canada
4,H2095,-1,1,0,0,0,Namerica,USA
5,H986,0,0,0,1,0,Asia,Euroasia
6,04_51,0,0,1,0,0,Namerica,USA
7,04_58,0,0,1,0,0,Namerica,USA
8,H295,0,0.495,0.401,0.104,0,Europe,EuropeUK
9,H260,0,0,0,1,0,Europe,Euroasia
10,H648,0,0,0,1,0,Asia,Euroasia
11,C510,-2,0,1,0,0,Namerica,USA
12,H371,0,0,0,1,0,Europe,EuropeWS
13,H618,-1,0.999,0.001,0,0,Europe,EuropeN
14,TR88,-2,0,0,1,0,Asia,Euroasia
15,H2098,0,0,1,0,0,Namerica,USA
16,AT83,0,0.234,0.274,0.492,0,Europe,EuropeWS
17,04_52,-1,0.225,0.775,0,0,Namerica,USA
18,04_65,-1,0.075,0.925,0,0,Namerica,USA
19,H2083,-1,0,1,0,0,Namerica,USA
20,TR67,0,0,0,1,0,Asia,Euroasia
21,H248,-1,0,1,0,0,Europe,Euroasia
22,C511,0,0,1,0,0,Namerica,USA
23,DDS239,-1,0.574,0.426,0,0,Namerica,Canada
24,H2086,0,0,1,0,0,Namerica,USA
25,R108,0,0,0,1,0,Europe,EuropeES
26,DDS93,-1,0.626,0.374,0,0,Namerica,Canada
27,H332,0,0,0,1,0,Europe,EuropeWS
28,Yu141,0,0,0,1,0,Europe,EuropeES
29,CKT4,0,0,0,1,0,Asia,Euroasia
30,V14,0,0.102,0.036,0.862,0,Asia,Euroasia
31,DDS81,-1,0.819,0.181,0,0,Namerica,Canada
32,Yu16,0,0,0.164,0.836,0,Europe,EuropeES
33,H413a,0,0,0,1,0,Europe,EuropeWS
34,DDS298,0,0,1,0,0,Namerica,Canada
35,04_54,0,0.184,0.816,0,0,Namerica,USA
36,DDS25,-1,0,1,0,0,Namerica,Canada
37,P122,0,0,0,1,0,Europe,EuropeES
38,H323,0,0,0,1,0,Europe,EuropeX
39,H340,-1,0.791,0.209,0,0,Europe,EuropeWS
40,BP14,0,0.305,0.001,0.695,0,Europe,EuropeWS
41,V19,-1,0.094,0.038,0.868,0,Asia,Euroasia
42,DDS296,-1,0.105,0.895,0,0,Namerica,Canada
43,H276,-2,0,0,1,0,Europe,EuropeWS
44,C115,0,0,1,0,0,Namerica,USA
45,H312,0,0.739,0.261,0,0,Europe,EuropeWS
46,04_55,-1,1,0,0,0,Namerica,USA
47,P114,0,0,0,1,0,Europe,EuropeES
48,H294,0,0,0,1,0,Europe,EuropeUK
49,H623,-1,1,0,0,0,Europe,EuropeUK
50,DDS82,0,0.275,0.725,0,0,Namerica,Canada
51,NZFS184C,0,1,0,0,0,NewZealand,NewZealand
52,TB2,0,0,1,0,0,Namerica,Canada
53,H239,-1,0,1,0,0,Europe,EuropeWS
54,TB5,0,0,1,0,0,Namerica,Canada
55,DDS241,0,0.744,0.256,0,0,Namerica,Canada
56,DDS100,0,0.649,0.351,0,0,Namerica,Canada
57,BP18,0,0.437,0.563,0,0,Europe,EuropeWS
58,ES130,-1,0.495,0.397,0.109,0,Europe,EuropeWS
59,NZFS601,0,1,0,0,0,NewZealand,NewZealand
60,DDS170,-1,0,1,0,0,Namerica,Canada
61,AT146,0,0.362,0.001,0.637,0,Europe,EuropeWS
62,DDS154,-1,0,1,0,0,Namerica,Canada
63,DDS257,0,0.305,0.001,0.694,0,Namerica,Canada
64,04_544,0,0,1,0,0,Namerica,USA
65,H346,0,0,0,1,0,Europe,EuropeWS
66,782401,0,0.998,0.002,0,0,Europe,EuropeWS
67,H2091,-1,1,0,0,0,Namerica,USA
68,H328,0,0.319,0.176,0.505,0,Asia,Euroasia
69,H234D,0,1,0,0,0,Europe,EuropeWS
70,C513,0,0,1,0,0,Namerica,USA
71,C514,0,0,1,0,0,Namerica,USA
72,04_56,-1,0,1,0,0,Namerica,USA
73,US137,-1,0.995,0.005,0,0,Namerica,USA
74,785401,0,0,0,0,1,NA,NA
75,H1018,0,0,0,0,1,NA,NA
76,H1021,0,0,0,0,1,NA,NA
77,H1022,0,0,0,0,1,NA,NA
78,H1096,0,0,0,0,1,NA,NA
79,H2062,0,0,0,0,1,NA,NA
80,H337,0,0,0,0,1,NA,NA
81,H359,0,0,0,0,1,NA,NA
82,H379,0,0,0,0,1,NA,NA
83,H649,0,0,0,0,1,NA,NA
84,H809,0,0,0,0,1,NA,NA
85,H864,0,0,0,0,1,NA,NA
86,H868,0,0,0,0,1,NA,NA
87,H871,0,0,0,0,1,NA,NA
88,H872,0,0,0,0,1,NA,NA
89,H873,0,0,0,0,1,NA,NA
90,H909,0,0,0,0,1,NA,NA
91,H924,0,0,0,0,1,NA,NA
92,I131,0,0,0,0,1,NA,NA
93,I185,0,0,0,0,1,NA,NA
94,PG40,0,0,0,0,1,NA,NA
