Europe,R69,0,0,1
Europe,R22,0,0,1
Namerica,DDS202,0,1,0
Namerica,H2095,1,0,0
Asia,H986,0,0,1
Namerica,04_51,0,1,0
Namerica,04_58,0,1,0
Europe,H295,0.495,0.401,0.104
Europe,H260,0,0,1
Asia,H648,0,0,1
Namerica,C510,0,1,0
Europe,H371,0,0,1
Europe,H618,0.999,0.001,0
Asia,TR88,0,0,1
Namerica,H2098,0,1,0
Europe,AT83,0.234,0.274,0.492
Namerica,04_52,0.225,0.775,0
Namerica,04_65,0.075,0.925,0
Namerica,H2083,0,1,0
Asia,TR67,0,0,1
Europe,H248,0,1,0
Namerica,C511,0,1,0
Namerica,DDS239,0.574,0.426,0
Namerica,H2086,0,1,0
Europe,R108,0,0,1
Namerica,DDS93,0.626,0.374,0
Europe,H332,0,0,1
Europe,Yu141,0,0,1
Europe,CKT4,0,0,1
Europe,V14,0.102,0.036,0.862
Namerica,DDS81,0.819,0.181,0
Europe,Yu16,0,0.164,0.836
Europe,H413a,0,0,1
Namerica,DDS298,0,1,0
Namerica,04_54,0.184,0.816,0
Namerica,DDS25,0,1,0
Europe,P122,0,0,1
Europe,H323,0,0,1
Europe,H340,0.791,0.209,0
Europe,BP14,0.305,0.001,0.695
Europe,V19,0.094,0.038,0.868
Namerica,DDS296,0.105,0.895,0
Europe,H276,0,0,1
Namerica,C115,0,1,0
Europe,H312,0.739,0.261,0
Namerica,04_55,1,0,0
Europe,P114,0,0,1
Europe,H294,0,0,1
Europe,H623,1,0,0
Namerica,DDS82,0.275,0.725,0
New Zealand,NZFS184C,1,0,0
Namerica,TB2,0,1,0
Europe,H239,0,1,0
Namerica,TB5,0,1,0
Namerica,DDS241,0.744,0.256,0
Namerica,DDS100,0.649,0.351,0
Europe,BP18,0.437,0.563,0
Europe,ES130,0.495,0.397,0.109
New Zealand,NZFS601,1,0,0
Namerica,DDS170,0,1,0
Europe,AT146,0.362,0.001,0.637
Namerica,DDS154,0,1,0
Namerica,DDS257,0.305,0.001,0.694
Namerica,04_544,0,1,0
Europe,H346,0,0,1
Europe,782401,0.998,0.002,0
Namerica,H2091,1,0,0
Europe,H328,0.319,0.176,0.505
Europe,H234D,1,0,0
Namerica,C513,0,1,0
Namerica,C514,0,1,0
Namerica,04_56,0,1,0
Namerica,US137,0.995,0.005,0
