        Label (%Miss) :  Inferred clusters
  1 13.H1022   (10)   :  0.937 0.063 
  2   1.H337    (4)   :  0.002 0.998 
  3 26.H2062    (4)   :  0.172 0.828 
  4  30.H872    (4)   :  0.938 0.062 
  5  32.I131   (10)   :  0.552 0.448 
  6  35.H909   (12)   :  0.239 0.761 
  7 43.H1018    (4)   :  0.998 0.002 
  8 44.H1096   (10)   :  0.006 0.994 
  9  46.H379   (12)   :  0.270 0.730 
 10  49.H873    (4)   :  0.996 0.004 
 11 54.H1021    (5)   :  0.907 0.093 
 12  62.H649    (4)   :  0.302 0.698 
 13  69.H924    (5)   :  0.998 0.002 
 14  70.H864    (4)   :  0.558 0.442 
 15  73.H868   (10)   :  0.481 0.519 
 16  75.H359    (9)   :  0.294 0.706 
 17  82.H871    (4)   :  0.994 0.006 
 18 87.785401    (4)   :  0.481 0.519 
 19  91.H809    (4)   :  0.994 0.006 
 20  95.I185   (10)   :  0.468 0.532 
 21   9.PG40   (10)   :  0.578 0.422 
