Ind	SpeciesID	SpeciesID	PCA1	PCA2	Group	Gr	SpeciesID	LEN_org	Name	LEN_Name	GeoGroup	PopGeo	SpName	NameBam	VcfOrder_calmd	LD1	LD2	Gr	GroupSamtools	SamName	GroupPCA1	GroupPCA2	GroupPCA_testULM	Region
55	HI.4257.001.BioOHT_64.04_55_aln-pe.sorted	HI.4257.001.BioOHT_64.04_55_calmd.bam	-8.226036	0.8282219	ame1	A1	04_55	5	04_55_A1	8	A	A1A	04_55	64.04_55	58	8.04836011529148	-6.67400298749759	2	A1	04_55_A1	A1	A1	A1	NA
53	HI.4257.001.BioOHT_88.782401_aln-pe.sorted	HI.4257.001.BioOHT_88.782401_calmd.bam	-9.3937453	1.3002293	ame1	A1	782401	6	782401_A1	9	E	A1E	782401	88.782401	84	8.45082197873019	-6.25042023623958	2	A1	782401_A1	A1	A1	A1	EA
66	HI.4257.001.BioOHT_78.BP18_aln-pe.sorted	HI.4257.001.BioOHT_78.BP18_calmd.bam	-1.1250989	0.9716439	ame2	A2	BP18	4	BP18_A2	7	E	A2E	BP18	78.BP18	73	8.62381348890167	-2.90644948516482	2	A1	BP18_A1	A1Hyb1	A1Hyb1	A1Hyb1	EA
64	HI.4257.001.BioOHT_77.DDS100_aln-pe.sorted	HI.4257.001.BioOHT_77.DDS100_calmd.bam	-3.763833	0.5378441	ame1	A1	DDS100	6	DDS100_A1	9	A	A1A	DDS100	77.DDS100	72	8.94463166290043	-4.85203884356465	2	A1	DDS100_A1	A1Hyb1	A1Hyb2	A1Hyb1	NA
62	HI.4257.001.BioOHT_36.DDS239_aln-pe.sorted	HI.4257.001.BioOHT_36.DDS239_calmd.bam	-4.7304888	0.8338028	ame1	A1	DDS239	6	DDS239_A1	9	A	A1A	DDS239	36.DDS239	29	11.4521106047716	-2.93819981590287	2	A1	DDS239_A1	A1Hyb1	A1Hyb1	A1Hyb1	NA
60	HI.4257.001.BioOHT_76.DDS241_aln-pe.sorted	HI.4257.001.BioOHT_76.DDS241_calmd.bam	-6.020023	0.8874364	ame1	A1	DDS241	6	DDS241_A1	9	A	A1A	DDS241	76.DDS241	71	6.57126640920352	-4.09560562747618	2	A1	DDS241_A1	A1Hyb1	A1Hyb2	A1Hyb1	NA
59	HI.4257.001.BioOHT_48.DDS81_aln-pe.sorted	HI.4257.001.BioOHT_48.DDS81_calmd.bam	-6.024405	1.0483163	ame1	A1	DDS81	5	DDS81_A1	8	A	A1A	DDS81	48.DDS81	40	8.87818131359072	-7.2162007455339	2	A1	DDS81_A1	A1Hyb1	A1Hyb1	A1Hyb1	NA
63	HI.4257.001.BioOHT_39.DDS93_aln-pe.sorted	HI.4257.001.BioOHT_39.DDS93_calmd.bam	-3.8716118	0.4433413	ame1	A1	DDS93	5	DDS93_A1	8	A	A1A	DDS93	39.DDS93	32	8.57372084175193	-7.16965922561236	2	A1	DDS93_A1	A1Hyb1	A1Hyb2	A1Hyb1	NA
67	HI.4257.001.BioOHT_79.ES130_aln-pe.sorted	HI.4257.001.BioOHT_79.ES130_calmd.bam	-0.8189033	-11.2512612	ame2	A2	ES130	5	ES130_A2	8	E	A2E	ES130	79.ES130	74	8.57011022636698	-6.01712774311416	2	A1	ES130_A1	A1Hyb1	A1Hyb1	A1Hyb1	EA
56	HI.4257.001.BioOHT_89.H2091_aln-pe.sorted	HI.4257.001.BioOHT_89.H2091_calmd.bam	-8.1750571	0.3808978	ame1	A1	H2091	5	H2091_A1	8	A	A1A	H2091	89.H2091	85	7.09117504188057	-7.18810889156583	2	A1	H2091_A1	A1Hyb1	A1Hyb2	A1Hyb1	NA
