#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
123228	0	163800	152460	0	0	0	0	0	0	0	0	445032	0	0
683928	0	163800	34713	0	0	0	0	0	0	0	0	2079	0	0
674856	0	163800	34776	0	0	0	0	0	0	0	0	11088	0	0
311598	0	196560	45423	0	0	0	0	0	0	0	0	330939	0	0
126	192717	79758	882	34650	0	418950	0	0	3402	0	1134	378	10773	141750
547974	0	167076	35910	0	0	0	0	103194	0	0	0	882	0	29484
684054	0	163800	34650	0	0	0	0	0	0	0	0	2016	0	0
675297	0	163800	34713	0	0	0	0	0	0	0	0	10710	0	0
652302	0	163800	39753	0	0	0	0	0	0	0	0	28665	0	0
47628	0	753480	43848	0	0	0	0	0	0	0	0	39564	0	0
813393	0	0	37107	0	0	0	0	0	0	0	0	34020	0	0
810243	0	0	45864	0	0	0	0	0	0	0	0	28413	0	0
141372	22932	22932	10836	8190	13104	26208	6552	301392	16380	3276	188370	111510	0	11466
12411	720720	65520	57456	0	0	0	0	0	0	0	0	28413	0	0
799974	0	0	48258	0	0	0	0	0	0	0	0	36288	0	0
760977	0	0	43029	0	0	0	0	0	0	0	0	80514	0	0
805896	0	0	41895	0	0	0	0	0	0	0	0	36729	0	0
768600	0	0	85869	0	0	0	0	0	0	0	0	30051	0	0
801423	0	0	53928	0	0	0	0	0	0	0	0	29169	0	0
802431	0	0	45927	0	0	0	0	0	0	0	0	36162	0	0
213129	0	0	52605	0	0	0	0	0	0	0	0	618786	0	0
296289	0	0	179172	0	0	0	0	0	0	0	0	409059	0	0
720405	0	0	124425	0	0	0	0	0	0	0	0	39690	0	0
303708	72	14421	341007	3204	1596	12	96	132	1311	0	7866	200607	0	10488
72093	104832	29400	214137	504	30240	0	8064	1008	0	385056	16128	14994	4032	4032
802242	0	0	43470	0	0	0	0	0	0	0	0	38808	0	0
812448	0	0	13230	0	0	0	0	0	0	0	0	58842	0	0
188811	0	0	657405	0	0	0	0	0	0	0	0	38304	0	0
769986	0	0	83538	0	0	0	0	0	0	0	0	30996	0	0
767718	0	0	76104	0	0	0	0	0	0	0	0	40698	0	0
767718	0	0	83790	0	0	0	0	0	0	0	0	33012	0	0
767907	0	0	87696	0	0	0	0	0	0	0	0	28917	0	0
13734	648648	29484	77364	0	0	0	0	0	3276	3276	13104	26838	68796	0
707994	0	32760	80514	0	0	0	0	0	0	0	0	63252	0	0
30681	0	615825	31878	6300	4536	0	97650	18900	1260	23562	0	44541	4662	4725
697536	0	32760	75537	0	0	0	0	0	0	0	0	78687	0	0
153315	2916	27396	493047	8976	180	4944	9600	3264	11772	348	492	71442	492	96336
224028	0	32760	86436	0	0	0	0	0	0	0	0	541296	0	0
737667	0	32760	36540	0	0	0	0	0	0	0	0	77553	0	0
765639	0	32760	50652	0	0	0	0	0	0	0	0	35469	0	0
666792	0	32760	80955	0	0	0	0	0	0	0	0	104013	0	0
771876	0	32760	50085	0	0	0	0	0	0	0	0	29799	0	0
724500	0	32760	73773	0	0	0	0	0	0	0	0	53487	0	0
764883	0	32760	50778	0	0	0	0	0	0	0	0	36099	0	0
780192	0	32760	24696	0	0	0	0	0	0	0	0	46872	0	0
18081	32760	753480	49518	0	0	0	0	0	0	0	0	30681	0	0
759654	32760	0	54495	0	0	0	0	0	0	0	0	37611	0	0
830466	0	0	17388	0	0	0	0	0	0	0	0	36666	0	0
785232	0	65520	12852	0	0	0	0	0	0	0	0	20916	0	0
821205	0	0	56448	0	0	0	0	0	0	0	0	6867	0	0
834624	0	0	47376	0	0	0	0	0	0	0	0	2520	0	0
829017	0	0	47817	0	0	0	0	0	0	0	0	7686	0	0
834750	0	0	46746	0	0	0	0	0	0	0	0	3024	0	0
177030	0	0	87570	0	0	0	0	0	0	0	0	619920	0	0
176904	0	0	86373	0	0	0	0	0	0	0	0	621243	0	0
830844	0	0	51408	0	0	0	0	0	0	0	0	2268	0	0
179550	0	0	61110	0	0	0	0	0	0	0	0	643860	0	0
835884	0	0	47124	0	0	0	0	0	0	0	0	1512	0	0
828576	0	0	47628	0	0	0	0	0	0	0	0	8316	0	0
829962	0	0	45864	0	0	0	0	0	0	0	0	8694	0	0
809865	0	0	71820	0	0	0	0	0	0	0	0	2835	0	0
30114	63720	6615	13797	86958	78624	213192	113400	181440	13797	19656	16038	11871	17928	17370
21042	0	753480	104013	0	0	0	0	0	0	0	0	5985	0	0
802998	0	0	67851	0	0	0	0	0	0	0	0	13671	0	0
856611	0	0	25830	0	0	0	0	0	0	0	0	2079	0	0
196749	0	0	66969	0	0	0	0	0	0	0	0	620802	0	0
775341	0	0	104202	0	0	0	0	0	0	0	0	4977	0	0
856737	0	0	22554	0	0	0	0	0	0	0	0	5229	0	0
771372	0	0	22554	0	0	0	0	0	0	0	0	90594	0	0
5670	360360	491400	21609	0	0	0	0	0	0	0	0	5481	0	0
201537	0	0	41139	0	0	0	0	0	0	0	0	641844	0	0
194328	1782	3825	60420	0	2346	1296	675	54	0	29325	0	587958	2511	0
263466	0	0	51849	0	0	0	0	0	0	0	0	569205	0	0
269829	0	0	88263	0	0	0	0	0	0	0	0	526428	0	0
226107	0	0	63693	0	0	0	0	0	0	0	0	594720	0	0
857304	0	0	25704	0	0	0	0	0	0	0	0	1512	0	0
827127	0	0	29484	0	0	0	0	0	0	0	0	27909	0	0
837900	0	0	45360	0	0	0	0	0	0	0	0	1260	0	0
856548	0	0	26271	0	0	0	0	0	0	0	0	1701	0	0
40767	144456	4140	1269	16992	0	570492	4104	342	3060	0	642	1500	96252	504
856548	0	0	22995	0	0	0	0	0	0	0	0	4977	0	0
830844	0	0	51408	0	0	0	0	0	0	0	0	2268	0	0
857367	0	0	22428	0	0	0	0	0	0	0	0	4725	0	0
856548	0	0	25263	0	0	0	0	0	0	0	0	2709	0	0
857304	0	0	25704	0	0	0	0	0	0	0	0	1512	0	0
177030	0	0	87570	0	0	0	0	0	0	0	0	619920	0	0
827064	0	0	49644	0	0	0	0	0	0	0	0	7812	0	0
75978	0	0	68796	0	0	0	0	0	0	0	0	739746	0	0
163422	0	0	32445	0	0	0	0	0	0	0	0	688653	0	0
768474	0	0	25956	0	0	0	0	0	0	0	0	90090	0	0
768285	0	0	24003	0	0	0	0	0	0	0	0	92232	0	0
840420	0	0	32319	0	0	0	0	0	0	0	0	11781	0	0
859068	0	0	23751	0	0	0	0	0	0	0	0	1701	0	0
856737	0	0	26271	0	0	0	0	0	0	0	0	1512	0	0
857115	0	0	22617	0	0	0	0	0	0	0	0	4788	0	0
853461	0	0	24822	0	0	0	0	0	0	0	0	6237	0	0
812637	0	0	24948	0	0	0	0	0	0	0	0	46935	0	0
95130	0	0	129276	0	0	0	0	0	0	0	0	660114	0	0
855288	0	0	24948	0	0	0	0	0	0	0	0	4284	0	0
857304	0	0	25704	0	0	0	0	0	0	0	0	1512	0	0
193662	0	0	653436	0	0	0	0	0	0	0	0	37422	0	0
834750	0	0	46242	0	0	0	0	0	0	0	0	3528	0	0
882882	0	0	0	0	0	0	0	0	0	0	0	1638	0	0
855225	0	0	24822	0	0	0	0	0	0	0	0	4473	0	0
