#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
45171	0	54600	41391	0	0	0	0	0	0	0	0	153678	0	0
216363	0	54600	12411	0	0	0	0	0	0	0	0	11466	0	0
66633	0	54600	70938	0	0	0	0	0	0	0	0	102669	0	0
47019	0	54600	44541	0	0	0	0	0	0	0	0	148680	0	0
3507	0	232050	8085	0	0	0	0	0	40950	0	3276	6972	0	0
227934	2600	52000	10794	0	0	0	0	0	0	0	0	1512	0	0
82446	0	54600	53487	0	0	0	0	0	0	0	0	104307	0	0
76503	0	54600	48531	0	0	0	0	0	0	0	0	115206	0	0
209307	0	54600	13818	0	0	0	0	0	0	0	0	17115	0	0
230748	0	54600	4053	0	0	0	0	0	0	0	0	5439	0	0
217854	0	54600	10017	0	0	0	0	0	0	0	0	12369	0	0
211449	0	54600	12075	0	0	0	0	0	0	0	0	16716	0	0
227955	0	54600	6132	0	0	0	0	0	0	0	0	6153	0	0
212751	0	54600	11844	0	0	0	0	0	0	0	0	15645	0	0
81753	0	54600	78099	0	0	0	0	0	0	0	0	80388	0	0
92946	0	54600	74865	0	0	0	0	0	0	0	0	72429	0	0
229740	5200	49400	3045	0	0	0	0	0	0	0	0	7455	0	0
227367	0	54600	6510	0	0	0	0	0	0	0	0	6363	0	0
49817	6760	37440	28854	0	0	0	0	0	0	0	0	171969	0	0
42441	0	54600	44604	0	0	0	0	0	0	0	0	153195	0	0
79002	0	54600	72576	0	0	0	0	0	0	0	0	88662	0	0
224700	0	54600	15120	0	0	0	0	0	0	0	0	420	0	0
90447	0	54600	69048	0	0	0	0	0	0	0	0	80745	0	0
105000	0	54600	98994	0	0	0	0	0	0	0	0	36246	0	0
224742	0	54600	14721	0	0	0	0	0	0	0	0	777	0	0
21	70896	16338	42	126	5250	3591	252	189	37779	15771	147	21	143472	945
84147	0	54600	74613	0	0	0	0	0	0	0	0	81480	0	0
218694	0	54600	10563	0	0	0	0	0	0	0	0	10983	0	0
98973	0	54600	69321	0	0	0	0	0	0	0	0	71946	0	0
58359	0	54600	41748	0	0	0	0	0	0	0	0	140133	0	0
224742	0	54600	7854	0	0	0	0	0	0	0	0	7644	0	0
97335	0	54600	76272	0	0	0	0	0	0	0	0	66633	0	0
245626	13520	20280	9009	0	0	0	0	0	0	0	0	6405	0	0
215313	0	54600	18606	0	0	0	0	0	0	0	0	6321	0	0
212793	0	54600	14868	0	0	0	0	0	0	0	0	12579	0	0
420	546	24423	819	6300	2940	4368	5460	3192	78435	9744	1848	441	1722	154182
209601	0	54600	20223	0	0	0	0	0	0	0	0	10416	0	0
11886	0	251160	15666	0	0	0	0	0	0	0	0	16128	0	0
217476	0	54600	16443	0	0	0	0	0	0	0	0	6321	0	0
71757	0	54600	153699	0	0	0	0	0	0	0	0	14784	0	0
58317	0	54600	34146	0	0	0	0	0	0	0	0	147777	0	0
107268	0	54600	63588	0	0	0	0	0	0	0	0	69384	0	0
223272	0	54600	11655	0	0	0	0	0	0	0	0	5313	0	0
88809	0	54600	83706	0	0	0	0	0	0	0	0	67725	0	0
74655	0	54600	161805	0	0	0	0	0	0	0	0	3780	0	0
206220	0	54600	15372	0	0	0	0	0	0	0	0	18648	0	0
213276	0	54600	14196	0	0	0	0	0	0	0	0	12768	0	0
73080	0	54600	162204	0	0	0	0	0	0	0	0	4956	0	0
172536	0	54600	12999	0	0	0	0	0	0	0	0	54705	0	0
224889	7800	46800	14721	0	0	0	0	0	0	0	0	630	0	0
92127	0	54600	103110	0	0	0	0	0	0	0	0	45003	0	0
228732	0	54600	6657	0	0	0	0	0	0	0	0	4851	0	0
45108	0	54600	51240	0	0	0	0	0	0	0	0	143892	0	0
151528	16120	520	64344	0	0	0	0	0	0	0	0	62328	0	0
109935	0	54600	55440	0	0	0	0	0	0	0	0	74865	0	0
96600	0	65520	58128	0	0	0	0	0	0	0	0	74592	0	0
91938	0	65520	63315	0	0	0	0	0	0	0	0	74067	0	0
213465	0	65520	9429	0	0	0	0	0	0	0	0	6426	0	0
75726	0	65520	60648	0	0	0	0	0	0	0	0	92946	0	0
161952	0	65520	2331	0	0	0	0	0	0	0	0	65037	0	0
206073	0	65520	11445	0	0	0	0	0	0	0	0	11802	0	0
213885	0	65520	8652	0	0	0	0	0	0	0	0	6783	0	0
68586	0	65520	157143	0	0	0	0	0	0	0	0	3591	0	0
98553	0	65520	89523	0	0	0	0	0	0	0	0	41244	0	0
86163	0	65520	64512	0	0	0	0	0	0	0	0	78645	0	0
207018	0	65520	13503	0	0	0	0	0	0	0	0	8799	0	0
81165	0	65520	66906	0	0	0	0	0	0	0	0	81249	0	0
65058	0	65520	61614	0	0	0	0	0	0	0	0	102648	0	0
103235	8320	37440	58548	0	0	0	0	0	0	0	0	87297	0	0
124561	22880	0	142758	0	0	0	0	0	0	0	0	4641	0	0
231	13839	119511	21	11550	0	11550	98175	0	1134	3213	378	210	378	34650
103698	0	65520	121527	0	0	0	0	0	0	0	0	4095	0	0
103866	0	65520	15162	0	0	0	0	0	0	0	0	110292	0	0
43491	0	65520	43533	0	0	0	0	0	0	0	0	142296	0	0
64008	0	65520	51744	0	0	0	0	0	0	0	0	113568	0	0
84063	0	65520	78813	0	0	0	0	0	0	0	0	66444	0	0
206136	0	65520	22806	0	0	0	0	0	0	0	0	378	0	0
88452	0	65520	75138	0	0	0	0	0	0	0	0	65730	0	0
49497	0	65520	38997	0	0	0	0	0	0	0	0	140826	0	0
27363	0	65520	97923	0	0	0	0	0	0	0	0	104034	0	0
180012	0	65520	23541	0	0	0	0	0	0	0	0	25767	0	0
213969	0	65520	7980	0	0	0	0	0	0	0	0	7371	0	0
93912	0	65520	75159	0	0	0	0	0	0	0	0	60249	0	0
207543	0	65520	11361	0	0	0	0	0	0	0	0	10416	0	0
235115	45760	0	11340	0	0	0	0	0	0	0	0	2625	0	0
207039	0	65520	10374	0	0	0	0	0	0	0	0	11907	0	0
215103	0	65520	6111	0	0	0	0	0	0	0	0	8106	0	0
143304	0	65520	22365	0	0	0	0	0	0	0	0	63651	0	0
210903	0	65520	17556	0	0	0	0	0	0	0	0	861	0	0
