Test	Source	Recipient	Nsites	d	se	Z	Nblocks	NsitesInBlock
D(out,ulm,ame1H,ame1)	ULM	AME1	47451	-0.144749182992428	0.04320921221538	-3.34996116732963	237	200
D(out,ulm,ame2H,ame2)	ULM	AME2	37182	-0.660905122265461	0.037749790240965	-17.5075177384235	185	200
D(out,ulm,novH,nov)	ULM	NOV	168660	-0.727907626328929	0.015099250936647	-48.2081945245552	843	200
D(out,ame2,ame1H,ame1)	AME2	AME1	37814	-0.607667424658537	0.024483797720774	-24.8191653757601	189	200
D(out,nov,ame1H,ame1)	NOV	AME1	31843	-0.015504666883727	0.034473305115689	-0.44975864169956	159	200
D(out,ame1,ame2H,ame2)	AME1	AME2	18767	-0.933695722314505	0.008433926679952	-110.707118729643	93	200
D(out,nov,ame2H,ame2)	NOV	AME2	13817	-0.096448152647517	0.052952833741106	-1.82139738014903	69	200
D(out,ame1,novH,nov)	AME1	NOV	61605	-0.520573670813851	0.018460311789838	-28.1996142178069	308	200
D(out,ame2,novH,nov)	AME2	NOV	57887	-0.348563047544762	0.022818677337486	-15.27533968729	289	200

