LP	INDV	ID	num	name	name.pop	Nsites MAT112	meanDepth MAT112	Nsites MAT113	meanDepth MAT113	Nsites MAT111	meanDepth MAT111	Nsites MAT12	meanDepth MAT12	Tot_mean_depth	Mating Type-formula	Mating Type	MT	MThead	Group	Introgression	Group1
72	HI.4257.001.BioOHT_77.DDS100_calmd.bam	77.DDS100	77	DDS100	DDS100_A1	1043	47.1965	729	49.8326	2340	44.5222	3139	40.5234	41.3066	MAT1	MAT1	1	Mating Type	ame1	2	ame
71	HI.4257.001.BioOHT_76.DDS241_calmd.bam	76.DDS241	76	DDS241	DDS241_A1	1043	56.861	729	57.3045	2340	42.8906	3139	30.2192	41.2434	MAT1	MAT1	1	Mating Type	ame1	2	ame
32	HI.4257.001.BioOHT_39.DDS93_calmd.bam	39.DDS93	39	DDS93	DDS93_A1	1043	9.99712	729	10.3374	2340	11.0205	3139	8.42115	9.82246	MAT1	MAT1	1	Mating Type	ame1	2	ame
85	HI.4257.001.BioOHT_89.H2091_calmd.bam	89.H2091	89	H2091	H2091_A1	1043	7.14573	729	8.73663	2340	8.66197	3139	8.42784	8.86351	MAT1	MAT1	1	Mating Type	ame1	2	ame
93	HI.4257.001.BioOHT_97.US137_calmd.bam	97.US137	97	US137	US137_A1	1043	48.9933	729	56.0261	2340	99.1538	3139	110.961	90.7792	MAT1	MAT1	1	Mating Type	ame1	0	ame
84	HI.4257.001.BioOHT_88.782401_calmd.bam	88.782401	88	782401	782401_A1	1043	0	729	0	2340	19.7701	3139	50.4151	48.8648	MAT2	MAT2	2	Mating Type	ame1	1	ame
58	HI.4257.001.BioOHT_64.04_55_calmd.bam	64.04_55	64	04_55	04_55_A1	1043	0	729	0	2340	3.19487	3139	7.85696	7.91999	MAT2	MAT2	2	Mating Type	ame1	1	ame
73	HI.4257.001.BioOHT_78.BP18_calmd.bam	78.BP18	78	BP18	BP18_A1	1043	0.443912	729	0.60631	2340	19.1581	3139	44.4543	48.5896	MAT2	MAT2	2	Mating Type	ame1	1	ame
29	HI.4257.001.BioOHT_36.DDS239_calmd.bam	36.DDS239	36	DDS239	DDS239_A1	1043	0.22627	729	0	2340	2.78974	3139	9.1166	9.17503	MAT2	MAT2	2	Mating Type	ame1	1	ame
40	HI.4257.001.BioOHT_48.DDS81_calmd.bam	48.DDS81	48	DDS81	DDS81_A1	1043	0	729	0	2340	3.06453	3139	6.96082	8.24035	MAT2	MAT2	2	Mating Type	ame1	1	ame
74	HI.4257.001.BioOHT_79.ES130_calmd.bam	79.ES130	79	ES130	ES130_A1	1043	0.20326	729	0	2340	3.60684	3139	9.17999	9.7748	MAT2	MAT2	2	Mating Type	ame1	1	ame
5	HI.4257.001.BioOHT_14.H2095_calmd.bam	14.H2095	14	H2095	H2095_A1	1043	0	729	0	2340	2.88803	3139	9.32686	8.63082	MAT2	MAT2	2	Mating Type	ame1	1	ame
88	HI.4257.001.BioOHT_92.H234D_calmd.bam	92.H234D	92	H234D	H234D_A1	1043	0	729	0.266118	2340	19.9829	3139	45.697	46.7541	MAT2	MAT2	2	Mating Type	ame1	1	ame
9	HI.4257.001.BioOHT_18.H295_calmd.bam	18.H295	18	H295	H295_A1	1043	0	729	0	2340	6.77735	3139	22.2128	28.1631	MAT2	MAT2	2	Mating Type	ame1	1	ame
57	HI.4257.001.BioOHT_63.H312_calmd.bam	63.H312	63	H312	H312_A1	1043	0	729	0	2340	16.212	3139	43.5534	46.8501	MAT2	MAT2	2	Mating Type	ame1	1	ame
50	HI.4257.001.BioOHT_57.H340_calmd.bam	57.H340	57	H340	H340_A1	1043	0	729	0.246914	2340	3.72607	3139	8.27334	8.54346	MAT2	MAT2	2	Mating Type	ame1	1	ame
15	HI.4257.001.BioOHT_23.H618_calmd.bam	23.H618	23	H618	H618_A1	1043	0	729	0	2340	3.04573	3139	6.58936	8.06085	MAT2	MAT2	2	Mating Type	ame1	1	ame
61	HI.4257.001.BioOHT_67.H623_calmd.bam	67.H623	67	H623	H623_A1	1043	0	729	0	2340	4.14316	3139	9.16215	9.24221	MAT2	MAT2	2	Mating Type	ame1	1	ame
64	HI.4257.001.BioOHT_6.NZFS184C_calmd.bam	6.NZFS184C	6	NZFS184C	NZFS184C_A1	1043	0	729	0.00411523	2340	14.6239	3139	36.4435	37.7954	MAT2	MAT2	2	Mating Type	ame1	1	ame
75	HI.4257.001.BioOHT_7.NZFS601_calmd.bam	7.NZFS601	7	NZFS601	NZFS601_A1	1043	0	729	0.356653	2340	14.0718	3139	37.8318	39.8191	MAT2	MAT2	2	Mating Type	ame1	1	ame
76	HI.4257.001.BioOHT_80.DDS170_calmd.bam	80.DDS170	80	DDS170	DDS170_A2	1043	12.3471	729	11.3004	2340	11.9718	3139	10.3068	10.374	MAT1	MAT1	1	Mating Type	ame2	2	ame
46	HI.4257.001.BioOHT_53.DDS25_calmd.bam	53.DDS25	53	DDS25	DDS25_A2	1043	10.2733	729	10.3649	2340	9.79573	3139	10.5088	9.68334	MAT1	MAT1	1	Mating Type	ame2	2	ame
44	HI.4257.001.BioOHT_51.DDS298_calmd.bam	51.DDS298	51	DDS298	DDS298_A2	1043	11.1151	729	11.1509	2340	11.5329	3139	10.4371	10.1471	MAT1	MAT1	1	Mating Type	ame2	2	ame
17	HI.4257.001.BioOHT_25.H2098_calmd.bam	25.H2098	25	H2098	H2098_A2	1043	51.0662	729	49.4966	2340	50.1735	3139	47.5413	48.636	MAT1	MAT1	1	Mating Type	ame2	2	ame
7	HI.4257.001.BioOHT_16.04_51_calmd.bam	16.04_51	16	04_51	04_51_A2	1043	0	729	0	2340	13.3568	3139	40.4285	40.5388	MAT2	MAT2	2	Mating Type	ame2	1	ame
20	HI.4257.001.BioOHT_28.04_52_calmd.bam	28.04_52	28	04_52	04_52_A2	1043	0	729	0	2340	3.76581	3139	7.35776	8.69432	MAT2	MAT2	2	Mating Type	ame2	1	ame
45	HI.4257.001.BioOHT_52.04_54_calmd.bam	52.04_54	52	04_54	04_54_A2	1043	0.264621	729	0	2340	17.9004	3139	44.4651	47.7858	MAT2	MAT2	2	Mating Type	ame2	1	ame
81	HI.4257.001.BioOHT_85.04_544_calmd.bam	85.04_544	85	04_544	04_544_A2	1043	0	729	0	2340	20.9714	3139	54.9146	56.782	MAT2	MAT2	2	Mating Type	ame2	1	ame
