ID;plate;media;slope;rep;temperature;lineage;chr1;chr2;chr3;chr4;chr5;chr6;chr7;chr8;int;group;country;latitude;longitude;year;PC1;PC2;PC3
04_51;23;MEA+N;24844,33333;R2;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;7;MEA;767369,5059;R2;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;18;MEA+N;215634,149;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;59;MEA+N;258971,3882;R3;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;2;MEA;439838,698;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;34;MEA+N;875780,4039;R1;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;11;MEA;1024939,71;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;39;MEA+N;111085,9529;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;23;MEA;1088940,8;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;7;MEA;685763,8314;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;18;MEA+N;23378,36078;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;2;MEA;536373,4235;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;27;MEA+N;9199,862745;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;27;MEA;508115,9804;R3;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;2;MEA;957101,1333;R1;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;55;MEA+N;752030,3843;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;11;MEA;619484,549;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_51;27;MEA+N;863901,898;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,4022844;-37,41437397;27,39632074
04_52;3;MEA;329508,0627;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;20;MEA+N;168479,2039;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;20;MEA+N;120373,2549;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;4;MEA;305183,3451;R1;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;4;MEA;127908,5529;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;4;MEA;148647,8118;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;3;MEA;158374,8824;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;36;MEA+N;345282,8196;R1;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;51;MEA+N;242169,3216;R3;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;8;MEA;178600,349;R2;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;8;MEA;200340,2275;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;56;MEA+N;226807,0549;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;24;MEA+N;192384,4275;R2;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;19;MEA+N;162725,9686;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;24;MEA;231877,7569;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;19;MEA+N;370202,9569;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_52;19;MEA;207543,1686;R3;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.15751;-87.901753;2004;-62,66633673;-32,61048645;7,85655166
04_54;3;MEA;246891,4667;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;19;MEA+N;190112,4431;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;28;MEA+N;401199,8549;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;12;MEA;192559,0157;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;28;MEA;303668,7451;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;3;MEA;398310,5843;R1;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;12;MEA;181753,5255;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;60;MEA+N;20852,87451;R3;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;28;MEA;284574,051;R3;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;44;MEA+N;76379,21961;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;28;MEA+N;182928,4471;R2;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;3;MEA;334984,5059;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;28;MEA+N;157754,4039;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;12;MEA;167666,1294;R2;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;60;MEA+N;400599,9176;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;19;MEA+N;181544,6235;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;35;MEA+N;406252,4078;R1;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_54;12;MEA;418337,2863;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;43.073052;-89.40123;2004;-63,11282508;-34,47657806;10,01286546
04_544;11;MEA;442946,4431;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;23;MEA+N;40364,2902;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;23;MEA+N;40364,2902;R1;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;11;MEA;442946,4431;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;23;MEA+N;108121,0588;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;27;MEA+N;308057,3686;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;27;MEA+N;308057,3686;R3;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;23;MEA+N;108121,0588;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;59;MEA+N;506954,4667;R2;25C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;11;MEA;249044,8039;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;11;MEA;249044,8039;R2;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;7;MEA;176614,6824;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;7;MEA;176614,6824;R1;20C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;27;MEA+N;37960,78824;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
04_544;27;MEA+N;37960,78824;R3;30C;AME2;0;0;0;0;0;0;0;0;0;AME2;USA;47.551493;-101.002012;NA;-63,41451601;-37,43808161;27,37288424
