strain_x	chrom	start	stop	length	boot	n010	n001	n011	n000	tot	ttout	strain_y	lineage	location	region
TR88	OphioH327chr_6	1600000	2800000	1200000	0	1473	1608	47970	904505	955556	0.03211382113821138	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	1	1529	1592	47831	904604	955556	0.03262528485710104	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	2	1464	1672	47230	905190	955556	0.03319923777260216	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	3	1482	1646	47937	904491	955556	0.03262615516198344	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	4	1398	1696	47706	904756	955556	0.032427786861191465	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	5	1547	1659	47632	904718	955556	0.03365384615384615	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	6	1454	1677	47848	904577	955556	0.03271819093797024	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	7	1467	1630	47624	904835	955556	0.03251511842768352	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	8	1434	1729	47717	904676	955556	0.033143324182157305	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	9	1482	1594	47358	905122	955556	0.03247603361628447	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	10	1490	1638	47934	904494	955556	0.032628197104351817	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	11	1515	1664	47666	904711	955556	0.0333466202324508	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	12	1482	1660	47412	905002	955556	0.03313507128996879	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	13	1490	1692	47376	904998	955556	0.03358240459304289	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	14	1509	1689	47546	904812	955556	0.033630589324023054	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	15	1510	1658	47821	904567	955556	0.03312352313837017	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	16	1533	1702	47782	904539	955556	0.0338516596207777	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	17	1454	1668	47063	905371	955556	0.03316830631281474	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	18	1485	1666	47708	904697	955556	0.03302381152008049	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	19	1527	1623	47574	904832	955556	0.03310631857737419	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	20	1525	1609	47729	904693	955556	0.032831192775880494	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	21	1457	1643	47832	904624	955556	0.03240508446228466	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	22	1574	1696	47536	904750	955556	0.03439498485358465	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	23	1408	1677	47687	904784	955556	0.03234634177029379	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	24	1510	1716	47389	904941	955556	0.03403743484774948	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	25	1489	1660	48382	904025	955556	0.032543094539291474	TR88	NOV	12	10
TR88	OphioH327chr_6	1600000	2800000	1200000	26	1453	1705	47387	905011	955556	0.03332137506067065	TR88	NOV	12	10
