scaffold	start	end	mid	sites
OphioH327chr_1	0	50000	25000	50000
OphioH327chr_1	50000	100000	75000	50000
OphioH327chr_1	100000	150000	125000	50000
OphioH327chr_1	150000	200000	175000	50000
OphioH327chr_1	200000	250000	225000	50000
OphioH327chr_1	250000	300000	275000	50000
OphioH327chr_1	300000	350000	325000	50000
OphioH327chr_1	350000	400000	375000	50000
OphioH327chr_1	400000	450000	425000	50000
OphioH327chr_1	450000	500000	475000	50000
OphioH327chr_1	500000	550000	525000	50000
OphioH327chr_1	550000	600000	575000	50000
OphioH327chr_1	600000	650000	625000	50000
OphioH327chr_1	650000	700000	675000	50000
OphioH327chr_1	700000	750000	725000	50000
OphioH327chr_1	750000	800000	775000	50000
OphioH327chr_1	800000	850000	825000	50000
OphioH327chr_1	850000	900000	875000	50000
OphioH327chr_1	900000	950000	925000	50000
OphioH327chr_1	950000	1000000	975000	50000
OphioH327chr_1	1000000	1050000	1025000	50000
OphioH327chr_1	1050000	1100000	1075000	50000
OphioH327chr_1	1100000	1150000	1125000	50000
OphioH327chr_1	1150000	1200000	1175000	50000
OphioH327chr_1	1200000	1250000	1225000	50000
OphioH327chr_1	1250000	1300000	1275000	50000
OphioH327chr_1	1300000	1350000	1325000	50000
OphioH327chr_1	1350000	1400000	1375000	50000
OphioH327chr_1	1400000	1450000	1425000	50000
OphioH327chr_1	1450000	1500000	1475000	50000
OphioH327chr_1	1500000	1550000	1525000	50000
OphioH327chr_1	1550000	1600000	1575000	50000
OphioH327chr_1	1600000	1650000	1625000	50000
OphioH327chr_1	1650000	1700000	1675000	50000
OphioH327chr_1	1700000	1750000	1725000	50000
OphioH327chr_1	1750000	1800000	1775000	50000
OphioH327chr_1	1800000	1850000	1825000	50000
OphioH327chr_1	1850000	1900000	1875000	50000
OphioH327chr_1	1900000	1950000	1925000	50000
OphioH327chr_1	1950000	2000000	1975000	50000
OphioH327chr_1	2000000	2050000	2025000	50000
OphioH327chr_1	2050000	2100000	2075000	50000
OphioH327chr_1	2100000	2150000	2125000	50000
OphioH327chr_1	2150000	2200000	2175000	50000
OphioH327chr_1	2200000	2250000	2225000	50000
OphioH327chr_1	2250000	2300000	2275000	50000
OphioH327chr_1	2300000	2350000	2325000	50000
OphioH327chr_1	2350000	2400000	2375000	50000
OphioH327chr_1	2400000	2450000	2425000	50000
OphioH327chr_1	2450000	2500000	2475000	50000
OphioH327chr_1	2500000	2550000	2525000	50000
OphioH327chr_1	2550000	2600000	2575000	50000
OphioH327chr_1	2600000	2650000	2625000	50000
