ID	pomme_num	inoculation	rep	J14_1	J14_2	lineage	J14	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	int	pred
04_51	33	05-02-19	1	40	35	ame2	37.5	0	0	0	0	0	0	0	0	0	30.24201677
04_51	34	05-02-19	2	24	27	ame2	25.5	0	0	0	0	0	0	0	0	0	24.65089455
04_51	35	05-02-19	3	25	27	ame2	26	0	0	0	0	0	0	0	0	0	24.65089455
04_51	36	05-02-19	4	28	30	ame2	29	0	0	0	0	0	0	0	0	0	26.74756539
04_52	28	05-02-19	4	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
04_52	25	05-02-19	1	20	26	ame2	23	0	0	0	0	0	0	0	0	0	23.95200428
04_52	26	05-02-19	2	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
04_52	27	05-02-19	3	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
04_54	19	05-02-19	3	40	22	ame2	31	0	0	0	0	0	0	0	0	0	21.15644317
04_54	17	05-02-19	1	20	23	ame2	21.5	0	0	0	0	0	0	0	0	0	21.85533345
04_54	20	05-02-19	4	23	24	ame2	23.5	0	0	0	0	0	0	0	0	0	22.55422372
04_54	18	05-02-19	2	26	28	ame2	27	0	0	0	0	0	0	0	0	0	25.34978483
04_56	21	05-02-19	1	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
04_56	23	05-02-19	3	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
04_56	22	05-02-19	2	25	23	ame2	24	0	0	0	0	0	0	0	0	0	21.85533345
04_56	24	05-02-19	4	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
04_58	37	05-02-19	1	23	24	ame2	23.5	0	0	0	0	0	0	0	0	0	22.55422372
04_58	39	05-02-19	3	25	30	ame2	27.5	0	0	0	0	0	0	0	0	0	26.74756539
04_58	38	05-02-19	2	24	26	ame2	25	0	0	0	0	0	0	0	0	0	23.95200428
04_58	40	05-02-19	4	22	25	ame2	23.5	0	0	0	0	0	0	0	0	0	23.253114
04_65	29	05-02-19	1	30	26	ame2	28	0	0	0	0	0	0	0	0	0	23.95200428
04_65	31	05-02-19	3	25	27	ame2	26	0	0	0	0	0	0	0	0	0	24.65089455
04_65	30	05-02-19	2	23	23	ame2	23	0	0	0	0	0	0	0	0	0	21.85533345
04_65	32	05-02-19	4	35	25	ame2	30	0	0	0	0	0	0	0	0	0	23.253114
782401	46	05-02-19	2	30	29	ame1	29.5	0	0	0	0	0	0	0	0	0	26.04867511
782401	45	05-02-19	1	24	27	ame1	25.5	0	0	0	0	0	0	0	0	0	24.65089455
782401	47	05-02-19	3	24	24	ame1	24	0	0	0	0	0	0	0	0	0	22.55422372
782401	48	05-02-19	4	NA	NA	ame1	NA	0	0	0	0	0	0	0	0	0	NA
BP18	33	05-02-19	1	26	32	ame1	29	0	0	0	0	0	0	0	0	0	28.14534594
BP18	35	05-02-19	3	20	25	ame1	22.5	0	0	0	0	0	0	0	0	0	23.253114
BP18	36	05-02-19	4	26	29	ame1	27.5	0	0	0	0	0	0	0	0	0	26.04867511
BP18	34	05-02-19	2	24	26	ame1	25	0	0	0	0	0	0	0	0	0	23.95200428
C511	22	05-02-19	2	22	24	ame2	23	0	0	0	0	0	0	0	0	0	22.55422372
C511	23	05-02-19	3	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
C511	24	05-02-19	4	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
C511	21	05-02-19	1	25	30	ame2	27.5	0	0	0	0	0	0	0	0	0	26.74756539
C513	29	05-02-19	1	14	16	ame2	15	0	0	0	0	0	0	0	0	0	16.96310151
C513	31	05-02-19	3	34	30	ame2	32	0	0	0	0	0	0	0	0	0	26.74756539
C513	30	05-02-19	2	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
C513	32	05-02-19	4	NA	NA	ame2	NA	0	0	0	0	0	0	0	0	0	NA
CKT4	29	05-02-19	1	19	21	nov	20	0	0	0	0	0	0	0	0	0	20.45755289
CKT4	30	05-02-19	2	NA	NA	nov	NA	0	0	0	0	0	0	0	0	0	NA
CKT4	32	05-02-19	4	18	17	nov	17.5	0	0	0	0	0	0	0	0	0	17.66199178
CKT4	31	05-02-19	3	17	17	nov	17	0	0	0	0	0	0	0	0	0	17.66199178
DDS100	42	05-02-19	2	NA	NA	ame1	NA	0	0	0	0	0	0	0	0	0	NA
DDS100	43	05-02-19	3	NA	NA	ame1	NA	0	0	0	0	0	0	0	0	0	NA
