scaffold	start	end	mid	sites
OphioH327chr_1	42335	43898	43117	100
OphioH327chr_1	43910	45323	44617	100
OphioH327chr_1	47052	47794	47423	100
OphioH327chr_1	47811	48643	48227	100
OphioH327chr_1	48646	50681	49664	100
OphioH327chr_1	54304	55415	54860	100
OphioH327chr_1	55418	56296	55857	100
OphioH327chr_1	56305	58245	57275	100
OphioH327chr_1	59350	60810	60080	100
OphioH327chr_1	60813	61965	61389	100
OphioH327chr_1	61968	63970	62969	100
OphioH327chr_1	63975	65262	64619	100
OphioH327chr_1	65264	66865	66065	100
OphioH327chr_1	70272	71206	70739	100
OphioH327chr_1	73696	75051	74374	100
OphioH327chr_1	76097	77174	76636	100
OphioH327chr_1	77181	79344	78263	100
OphioH327chr_1	79353	80494	79924	100
OphioH327chr_1	80514	82042	81278	100
OphioH327chr_1	82047	83135	82591	100
OphioH327chr_1	86156	87780	86968	100
OphioH327chr_1	90070	91551	90811	100
OphioH327chr_1	91564	93317	92441	100
OphioH327chr_1	93328	94483	93906	100
OphioH327chr_1	94484	95438	94961	100
OphioH327chr_1	95446	97379	96413	100
OphioH327chr_1	105042	106395	105719	100
OphioH327chr_1	106404	108247	107326	100
OphioH327chr_1	108248	109669	108959	100
OphioH327chr_1	109671	111516	110594	100
OphioH327chr_1	112974	114323	113649	100
OphioH327chr_1	114325	115829	115077	100
OphioH327chr_1	117048	118603	117826	100
OphioH327chr_1	118633	120244	119439	100
OphioH327chr_1	126583	129051	127817	100
OphioH327chr_1	129075	130497	129786	100
OphioH327chr_1	130506	131726	131116	100
OphioH327chr_1	131751	133729	132740	100
OphioH327chr_1	134758	136826	135792	100
OphioH327chr_1	136873	138697	137785	100
OphioH327chr_1	138700	140714	139707	100
OphioH327chr_1	140716	141985	141351	100
OphioH327chr_1	143625	144885	144255	100
OphioH327chr_1	144895	145618	145257	100
OphioH327chr_1	145625	147353	146489	100
OphioH327chr_1	147376	148665	148021	100
OphioH327chr_1	148668	149895	149282	100
OphioH327chr_1	149897	151487	150692	100
OphioH327chr_1	151497	152486	151992	100
OphioH327chr_1	152487	153138	152813	100
OphioH327chr_1	153148	153987	153568	100
OphioH327chr_1	156235	156864	156550	100
OphioH327chr_1	156866	157711	157289	100
OphioH327chr_1	157735	158579	158157	100
OphioH327chr_1	158585	159565	159075	100
OphioH327chr_1	165280	166871	166076	100
OphioH327chr_1	166872	168386	167629	100
OphioH327chr_1	169907	171245	170576	100
OphioH327chr_1	171274	172428	171851	100
OphioH327chr_1	172460	173915	173188	100
OphioH327chr_1	173939	175090	174515	100
OphioH327chr_1	176098	177858	176978	100
OphioH327chr_1	177872	179173	178523	100
OphioH327chr_1	181373	182861	182117	100
OphioH327chr_1	184083	185505	184794	100
OphioH327chr_1	185514	186581	186048	100
OphioH327chr_1	186588	187474	187031	100
OphioH327chr_1	187479	189328	188404	100
OphioH327chr_1	189348	190478	189913	100
OphioH327chr_1	190519	191496	191008	100
OphioH327chr_1	191516	193251	192384	100
OphioH327chr_1	193254	194732	193993	100
OphioH327chr_1	194733	195992	195363	100
OphioH327chr_1	196014	197464	196739	100
OphioH327chr_1	197472	198402	197937	100
OphioH327chr_1	198421	199345	198883	100
OphioH327chr_1	199370	200506	199938	100
OphioH327chr_1	200550	202584	201567	100
OphioH327chr_1	202605	203769	203187	100
OphioH327chr_1	203785	204984	204385	100
OphioH327chr_1	205029	206985	206007	100
OphioH327chr_1	208299	209604	208952	100
OphioH327chr_1	210870	211801	211336	100
OphioH327chr_1	211812	213098	212455	100
