chrom	start	stop	strain	allSites	focSites	ulmSites	fixedHIM	lineage	location	region	Length	ttout
OphioH327chr_6	1600000	2800000	TR88	955556	1498	1695	47607	NOV	12	10	1200000	0.03353498435104081
OphioH327chr_6	400000	600000	R108	132916	200	189	6675	NOV	11	9	200000	0.029138576779026218
OphioH327chr_3	0	200000	R108	131375	333	395	7213	NOV	6	4	200000	0.050464439206987385
OphioH327chr_7	0	200000	V19	117464	238	241	6561	NOV	13	11	200000	0.036503581771071485
OphioH327chr_1	0	200000	Yu16	121498	33	22	5608	NOV	1	1	200000	0.004903708987161198
OphioH327chr_1	0	400000	H371	287247	244	251	13806	NOV	1	1	400000	0.017926988265971316
OphioH327chr_1	0	400000	H986	293671	103	103	14487	NOV	1	1	400000	0.00710982259957203
OphioH327chr_1	0	400000	P122	289450	131	139	14086	NOV	1	1	400000	0.009583984097685645
OphioH327chr_1	0	400000	V19	286809	86	101	13917	NOV	1	1	400000	0.006718401954444205
OphioH327chr_1	1600000	2200000	TR88	506335	403	458	20496	NOV	3	2	600000	0.021004098360655737
OphioH327chr_8	2000000	2600000	H413a	415228	547	621	24409	NOV	16	14	600000	0.023925601212667458
OphioH327chr_1	200000	400000	R22	137657	40	39	7283	NOV	2	1	200000	0.005423589180282851
OphioH327chr_4	2200000	2400000	P122	143154	110	117	6718	NOV	8	6	200000	0.01689490919916642
OphioH327chr_7	2200000	2400000	V19	119593	220	214	5177	NOV	14	12	200000	0.041916167664670656
OphioH327chr_5	2400000	2600000	H323	131568	194	244	7378	NOV	10	8	200000	0.0296828408782868
OphioH327chr_3	3600000	3800000	TR88	21733	15	12	1313	NOV	7	5	200000	0.010281797410510283
OphioH327chr_3	3600000	3800000	V19	21837	7	1	1359	NOV	7	5	200000	0.0029433406916850625
OphioH327chr_6	400000	600000	H276	127466	113	124	6263	NOV	11	9	200000	0.01892064505827878
OphioH327chr_5	400000	600000	P114	146239	123	136	6526	NOV	9	7	200000	0.019843702114618448
OphioH327chr_6	400000	600000	P122	133668	199	222	6708	NOV	11	9	200000	0.031380441264162194
OphioH327chr_6	400000	600000	R22	133290	201	199	6722	NOV	11	9	200000	0.02975304968759298
OphioH327chr_2	4800000	5800000	H2098	866229	334	308	42426	AME2	4	3	1000000	0.007566115118087965
OphioH327chr_2	5200000	5600000	H2091	321219	223	249	15364	AME1	4	3	400000	0.015360583181463161
OphioH327chr_2	5200000	5600000	Yu16	324140	111	90	15784	NOV	4	3	400000	0.006367207298530157
OphioH327chr_2	5400000	5600000	DDS298	149236	225	227	6331	AME2	4	3	200000	0.03569736218606855
OphioH327chr_2	5400000	5600000	DDS93	149092	233	228	6296	AME1	4	3	200000	0.03661054637865311
OphioH327chr_2	5400000	5600000	US137	149110	27	47	6485	AME1	4	3	200000	0.0057054741711642255
OphioH327chr_2	5400000	6800000	H413a	1138131	1856	1625	59163	NOV	4	3	1400000	0.02941872454067576
OphioH327chr_2	5800000	6800000	H986	759314	733	744	40809	NOV	5	3	1000000	0.0180964983214487
OphioH327chr_8	600000	1000000	R108	304407	417	433	15304	NOV	15	13	400000	0.02777051751176163
OphioH327chr_8	600000	1200000	TR88	478998	347	353	22580	NOV	15	13	600000	0.01550044286979628
OphioH327chr_8	600000	800000	H986	129319	186	167	7101	NOV	15	13	200000	0.024855654133220672
OphioH327chr_8	600000	800000	V19	125022	161	154	6788	NOV	15	13	200000	0.023202710665880966
OphioH327chr_8	600000	800000	Yu141	127097	148	154	6930	NOV	15	13	200000	0.02178932178932179
OphioH327chr_2	6200000	6600000	H323	304345	347	372	16656	NOV	5	3	400000	0.021583813640730067
